Province/State,Country/Region,Lat,Long,confirmed_recovered
,Afghanistan,33.93911,67.709953,54503
,Albania,41.1533,20.1683,119061
,Algeria,28.0339,1.6596,86703
,Andorra,42.5063,1.5218,13070
,Angola,-11.2027,17.8739,25145
,Antigua and Barbuda,17.0608,-61.7964,1178
,Argentina,-38.4161,-63.6167,2854364
,Armenia,40.0691,45.0382,205675
Australian Capital Territory,Australia,-35.4735,149.0124,121
New South Wales,Australia,-33.8688,151.2093,0
Northern Territory,Australia,-12.4634,130.8456,161
Queensland,Australia,-27.4698,153.0251,1555
South Australia,Australia,-34.9285,138.6007,717
Tasmania,Australia,-42.8821,147.3272,221
Victoria,Australia,-37.8136,144.9631,19698
Western Australia,Australia,-31.9505,115.8605,993
,Austria,47.5162,14.5501,607712
,Azerbaijan,40.1431,47.5769,308317
,Bahamas,25.025885,-78.035889,9854
,Bahrain,26.0275,50.55,177212
,Bangladesh,23.685,90.3563,715321
,Barbados,13.1939,-59.5432,3870
,Belarus,53.7098,27.9534,360916
,Belgium,50.8333,4.469936,0
,Belize,17.1899,-88.4976,12307
,Benin,9.3077,2.3158,7652
,Bhutan,27.5142,90.4336,1101
,Bolivia,-16.2902,-63.5887,262970
,Bosnia and Herzegovina,43.9159,17.6791,166887
,Botswana,-22.3285,24.6849,46290
,Brazil,-14.235,-51.9253,13592463
,Brunei,4.5353,114.7277,218
,Bulgaria,42.7339,25.4858,353619
,Burkina Faso,12.2383,-1.5616,13180
,Burma,21.9162,95.956,132050
,Burundi,-3.3731,29.9189,773
,Cabo Verde,16.5388,-23.0418,23692
,Cambodia,11.55,104.9167,8170
,Cameroon,3.8480000000000003,11.5021,35261
,Canada,56.1304,-106.3468,1209322
,Central African Republic,6.6111,20.9394,5112
,Chad,15.4542,18.7322,4661
,Chile,-35.6751,-71.543,1193927
Anhui,China,31.8257,117.2264,988
Beijing,China,40.1824,116.4142,1046
Chongqing,China,30.0572,107.874,585
Fujian,China,26.0789,117.9874,573
Gansu,China,35.7518,104.2861,191
Guangdong,China,23.3417,113.4244,2316
Guangxi,China,23.8298,108.7881,267
Guizhou,China,26.8154,106.8748,145
Hainan,China,19.1959,109.7453,165
Hebei,China,37.8957,114.9042,1310
Heilongjiang,China,47.861999999999995,127.7615,1597
Henan,China,33.882,113.61399999999999,1289
Hong Kong,China,22.3,114.2,11503
Hubei,China,30.9756,112.2707,63640
Hunan,China,27.6104,111.7088,1038
Inner Mongolia,China,44.0935,113.9448,378
Jiangsu,China,32.9711,119.455,713
Jiangxi,China,27.614,115.7221,936
Jilin,China,43.6661,126.1923,570
Liaoning,China,41.2956,122.6085,406
Macau,China,22.1667,113.55,49
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,587
Shandong,China,36.3427,118.1498,870
Shanghai,China,31.201999999999998,121.4491,1955
Shanxi,China,37.5777,112.2922,244
Sichuan,China,30.6171,102.7103,964
Tianjin,China,39.3054,117.323,378
Tibet,China,31.6927,88.0924,1
Unknown,China,,,11
Xinjiang,China,41.1129,85.2401,977
Yunnan,China,24.974,101.48700000000001,306
Zhejiang,China,29.1832,120.0934,1322
,Colombia,4.5709,-74.2973,2848153
,Comoros,-11.6455,43.3333,3688
,Congo (Brazzaville),-0.228,15.8277,8208
