UID,iso2,iso3,code3,confirmed_us,confirmed_death_us
84001001,US,USA,840,6926,108
84001003,US,USA,840,21154,308
84001005,US,USA,840,2310,57
84001007,US,USA,840,2609,64
84001009,US,USA,840,6678,137
84001011,US,USA,840,1228,41
84001013,US,USA,840,2160,69
84001015,US,USA,840,14511,314
84001017,US,USA,840,3573,123
84001019,US,USA,840,1852,45
84001021,US,USA,840,4296,112
84001023,US,USA,840,607,24
84001025,US,USA,840,3511,61
84001027,US,USA,840,1567,56
84001029,US,USA,840,1489,41
84001031,US,USA,840,5519,119
84001033,US,USA,840,6306,134
84001035,US,USA,840,1105,29
84001037,US,USA,840,1076,28
84001039,US,USA,840,4129,118
84001041,US,USA,840,1525,57
84001043,US,USA,840,9676,194
84001045,US,USA,840,4838,111
84001047,US,USA,840,3551,152
84001049,US,USA,840,8831,186
84001051,US,USA,840,10068,205
84001053,US,USA,840,3936,77
84001055,US,USA,840,13843,353
84001057,US,USA,840,2125,62
84001059,US,USA,840,4260,82
84001061,US,USA,840,2504,77
84001063,US,USA,840,925,34
84001065,US,USA,840,2230,77
84001067,US,USA,840,1888,44
84001069,US,USA,840,10570,281
84001071,US,USA,840,6814,112
84001073,US,USA,840,76550,1522
84001075,US,USA,840,1425,35
84001077,US,USA,840,9427,241
84001079,US,USA,840,3003,98
84001081,US,USA,840,15882,171
84001083,US,USA,840,9974,151
84001085,US,USA,840,1388,53
84001087,US,USA,840,1596,50
84001089,US,USA,840,34789,503
84001091,US,USA,840,2495,64
84001093,US,USA,840,3122,101
84001095,US,USA,840,12232,223
84001097,US,USA,840,41036,805
84001099,US,USA,840,1775,40
84001101,US,USA,840,24340,589
84001103,US,USA,840,14306,279
84080001,US,USA,840,0,0
84001105,US,USA,840,1077,26
84001107,US,USA,840,2344,61
84001109,US,USA,840,3109,77
84001111,US,USA,840,1805,42
84001113,US,USA,840,4415,38
84001117,US,USA,840,23449,249
84001115,US,USA,840,9661,243
84001119,US,USA,840,1047,32
84001121,US,USA,840,8227,176
84001123,US,USA,840,4023,152
84001125,US,USA,840,25788,453
84090001,US,USA,840,0,0
84001127,US,USA,840,7241,277
84001129,US,USA,840,1673,39
84001131,US,USA,840,1271,30
84001133,US,USA,840,2744,73
84002013,US,USA,840,367,3
84002016,US,USA,840,698,1
84002020,US,USA,840,30493,176
84002050,US,USA,840,3885,21
84002060,US,USA,840,0,0
84002164,US,USA,840,197,0
84002063,US,USA,840,405,3
84002066,US,USA,840,244,0
84002068,US,USA,840,103,0
84002070,US,USA,840,229,2
84002090,US,USA,840,7878,39
84002100,US,USA,840,31,0
84002105,US,USA,840,0,0
84002110,US,USA,840,1419,5
84002122,US,USA,840,4512,22
84002130,US,USA,840,514,2
84002150,US,USA,840,1113,5
84002158,US,USA,840,1284,4
84002170,US,USA,840,11601,49
84002180,US,USA,840,361,0
84002185,US,USA,840,1083,4
84002188,US,USA,840,619,2
84080002,US,USA,840,0,0
84002195,US,USA,840,170,1
84002198,US,USA,840,111,1
84002220,US,USA,840,359,1
84002230,US,USA,840,21,0
84002240,US,USA,840,691,4
84090002,US,USA,840,291,0
84002261,US,USA,840,0,0
84002275,US,USA,840,57,0
84002282,US,USA,840,78,2
84002290,US,USA,840,364,4
16,AS,ASM,16,0,0
84004001,US,USA,840,11360,429
84004003,US,USA,840,11971,283
84004005,US,USA,840,17863,330
84004007,US,USA,840,6926,228
84004009,US,USA,840,5569,80
84004011,US,USA,840,573,10
84004012,US,USA,840,2460,80
84004013,US,USA,840,542486,9932
84004015,US,USA,840,22819,723
84004017,US,USA,840,16309,535
84080004,US,USA,840,0,0
84004019,US,USA,840,115872,2407
84004021,US,USA,840,51934,876
84004023,US,USA,840,7940,176
84090004,US,USA,840,0,0
84004025,US,USA,840,18919,505
84004027,US,USA,840,37154,834
84005001,US,USA,840,2105,36
84005003,US,USA,840,2013,34
84005005,US,USA,840,3177,104
84005007,US,USA,840,29029,415
84005009,US,USA,840,3829,80
84005011,US,USA,840,1392,32
84005013,US,USA,840,411,3
84005015,US,USA,840,2808,45
84005017,US,USA,840,1615,41
84005019,US,USA,840,2113,41
84005021,US,USA,840,1767,50
84005023,US,USA,840,1980,74
84005025,US,USA,840,953,25
84005027,US,USA,840,2349,56
84005029,US,USA,840,2226,32
84005031,US,USA,840,13460,180
84005033,US,USA,840,7078,119
